2024-06-02 20:24:54,368 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Configure stats pid to 71683
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Loading settings from /Users/maheepchaudhary/.config/wandb/settings
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Loading settings from /Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/wandb/settings
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/main.py', 'program': '/Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/main.py'}
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_init.py:_log_setup():520] Logging user logs to /Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/wandb/run-20240602_202454-5ok0zf35/logs/debug.log
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/wandb/run-20240602_202454-5ok0zf35/logs/debug-internal.log
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_init.py:init():560] calling init triggers
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-02 20:24:54,369 INFO    MainThread:71683 [wandb_init.py:init():610] starting backend
2024-06-02 20:24:54,370 INFO    MainThread:71683 [wandb_init.py:init():614] setting up manager
2024-06-02 20:24:54,373 INFO    MainThread:71683 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-06-02 20:24:54,377 INFO    MainThread:71683 [wandb_init.py:init():622] backend started and connected
2024-06-02 20:24:54,383 INFO    MainThread:71683 [wandb_init.py:init():711] updated telemetry
2024-06-02 20:24:54,403 INFO    MainThread:71683 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-02 20:24:55,244 INFO    MainThread:71683 [wandb_run.py:_on_init():2396] communicating current version
2024-06-02 20:24:55,536 INFO    MainThread:71683 [wandb_run.py:_on_init():2405] got version response 
2024-06-02 20:24:55,537 INFO    MainThread:71683 [wandb_init.py:init():795] starting run threads in backend
2024-06-02 20:25:00,743 INFO    MainThread:71683 [wandb_run.py:_console_start():2374] atexit reg
2024-06-02 20:25:00,743 INFO    MainThread:71683 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-06-02 20:25:00,743 INFO    MainThread:71683 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-06-02 20:25:00,743 INFO    MainThread:71683 [wandb_run.py:_redirect():2319] Redirects installed.
2024-06-02 20:25:00,744 INFO    MainThread:71683 [wandb_init.py:init():838] run started, returning control to user process
2024-06-02 20:25:18,147 WARNING MsgRouterThr:71683 [router.py:message_loop():77] message_loop has been closed
